Class,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30
nonsuc,32.61672666666667,32.598462068965524,32.50476071428572,32.12068888888889,32.68191153846154,32.670508000000005,32.8957625,33.31869130434783,33.13772272727274,33.49854761904762,33.31688,33.112557894736845,35.530877777777775,33.247141176470585,32.1878625,30.856826666666667,28.940785714285717,28.8280076923077,29.34370833333333,28.391554545454543,27.587799999999998,26.89662222222222,28.035500000000003,28.3953,28.239766666666668,32.17036,30.6158,28.89616666666667,26.7778,15.9803
nonsuc,31.913246666666677,32.661241379310354,32.17658928571429,32.022592592592595,33.08262692307692,31.501236000000002,32.785404166666666,32.606152173913046,32.69754545454546,33.657419047619044,33.093239999999994,34.44001052631579,33.906888888888886,32.9647705882353,32.3759625,31.057466666666663,29.64276428571429,31.354300000000002,27.629508333333334,29.256936363636363,27.65431,28.350499999999997,30.53435,29.39795714285714,33.7134,30.845119999999998,32.370450000000005,33.55003333333334,28.1969,40.4135
nonsuc,29.87586000000001,30.69917586206897,30.50018214285715,29.922414814814825,30.918400000000005,29.68913600000001,30.34430833333333,30.17116521739131,29.775668181818183,30.256819047619047,29.693365,30.18168947368421,30.270249999999994,28.096447058823532,30.553962499999997,28.663759999999993,28.584235714285715,29.047684615384615,27.356749999999995,28.707045454545458,27.829460000000005,27.9729,28.7812125,27.064914285714284,28.287433333333336,25.54502,27.239325,25.490233333333332,16.42715,24.0909
suc,22.39888000000001,22.80365172413793,22.27894642857143,22.997892592592592,23.476457692307694,23.036208000000002,22.487283333333334,23.30962608695652,24.11205,25.000661904761905,23.336345,23.04668947368421,25.319116666666666,24.43874705882353,24.100825,21.85670666666667,20.864542857142855,21.75893846153846,22.278075,22.340445454545456,21.345750000000002,21.06427777777778,23.4671375,22.51328571428572,21.094683333333336,21.88026,23.33545,25.731533333333335,28.0672,38.6103
nonsuc,20.64287666666667,20.898886206896556,19.414324999999995,20.58837777777778,20.192626923076922,21.36364,21.334458333333334,20.982869565217392,20.671713636363638,21.27884285714286,21.60445,21.10889473684211,23.453294444444442,21.211723529411763,20.674674999999997,18.486666666666668,20.023428571428575,18.640092307692306,19.03695,17.65261818181818,17.69755,15.573177777777781,17.8697,17.47507142857143,18.105683333333335,20.8902,21.3067,20.693266666666666,10.4796,10.604899999999999
nonsuc,21.743223333333336,21.737065517241376,20.937871428571434,21.998577777777772,20.828880769230764,22.019516000000003,21.294612500000003,21.666121739130435,20.829745454545456,21.665904761904763,21.800925,21.609894736842108,23.03858888888889,23.700911764705886,21.97990625,20.072226666666666,19.95008571428571,20.92190769230769,20.655866666666668,20.836636363636362,20.251130000000003,18.97747777777778,18.5014375,21.45875714285714,20.292933333333334,19.669980000000002,20.361925,20.8891,14.808600000000002,7.646100000000001
nonsuc,22.566416666666665,22.622434482758617,23.917514285714294,23.470692592592588,22.547007692307695,23.779911999999996,25.204504166666663,23.09130434782609,23.344822727272728,24.048595238095235,23.416059999999995,22.799105263157898,23.587211111111113,24.052035294117644,22.405093750000002,22.01355333333333,20.403107142857145,21.79506153846154,20.082683333333332,22.182436363636363,22.0019,21.067766666666667,20.1434125,17.47565714285714,18.550733333333334,14.87294,16.53515,18.999399999999998,16.0301,17.7747
nonsuc,23.22792,22.75007241379311,24.44525000000001,23.498440740740744,22.788353846153846,24.858024000000004,26.465708333333335,24.425126086956524,25.393113636363637,24.464123809523812,24.228065000000004,24.4459052631579,23.99108888888889,24.31388823529412,24.5241125,23.43416666666667,21.589321428571424,25.3698,24.010099999999998,23.781354545454544,24.13165,22.305855555555556,20.9979625,18.059571428571427,21.047350000000005,21.871879999999997,29.027025000000002,28.413899999999998,29.4372,35.1735
nonsuc,26.352380000000004,25.367889655172416,26.53827857142857,25.11258888888889,23.78538846153846,25.488239999999998,25.10709583333333,23.834560869565212,24.980318181818177,23.42068095238095,24.666225,26.365042105263157,26.194644444444446,26.32581764705882,26.86474375,24.492526666666667,25.815521428571426,27.1651,26.337958333333333,29.129363636363635,31.76848,28.650033333333333,28.386374999999997,33.786828571428565,34.669533333333334,33.76397999999999,34.416325,31.983900000000002,23.6928,14.2527
nonsuc,25.765570000000004,25.230827586206896,25.912821428571426,26.111885185185184,25.801811538461536,26.127311999999996,26.138604166666664,25.265139130434783,25.73760454545454,25.015028571428573,27.467930000000003,26.325826315789474,25.47990555555555,25.498023529411764,25.071618750000003,24.107000000000003,23.73054285714286,23.46018461538462,22.182575000000003,23.170400000000004,22.571540000000006,25.387533333333334,22.724187499999996,19.993600000000004,22.406483333333338,22.637,16.585025,16.55,15.937650000000001,8.0764
nonsuc,25.852713333333337,25.474106896551724,26.344303571428576,26.672796296296294,27.1753,26.024627999999996,27.3854875,27.087452173913043,27.642749999999992,25.447128571428575,27.732844999999998,27.79877894736842,26.839488888888884,27.33021176470588,26.87836875,26.034200000000002,23.682707142857147,24.817761538461543,22.922483333333336,25.807827272727277,25.321430000000003,24.9929,22.280224999999998,20.69821428571429,27.153499999999998,23.159860000000002,25.190624999999997,20.577166666666667,28.2511,43.7871
nonsuc,26.920893333333336,26.664272413793103,26.741325,27.255066666666668,26.823673076923082,26.64219200000001,27.163025,27.668465217391308,27.062763636363638,26.222895238095237,28.35611,26.40806842105263,26.146005555555558,25.270700000000005,25.8945875,26.476699999999997,24.678964285714283,24.630400000000005,24.492341666666672,23.635618181818185,22.212569999999996,22.89805555555555,21.0241625,22.757771428571434,20.146183333333333,18.90762,16.75975,12.614033333333333,8.9124,13.0083
nonsuc,27.20105000000001,26.712765517241383,27.031971428571435,27.48287777777778,27.518000000000004,26.82285200000001,27.940637499999998,27.150378260869566,26.521127272727277,25.951790476190478,28.557534999999994,26.967968421052632,25.952533333333335,26.091200000000004,26.394537500000002,27.00998,24.41633571428571,25.289853846153846,24.730300000000003,24.355600000000003,23.726239999999997,25.482311111111112,23.93145,21.303671428571427,21.165983333333333,17.54336,18.297475000000002,14.156799999999999,10.68375,11.1888
suc,24.465919999999997,23.546237931034483,25.006507142857142,24.356766666666672,24.42012692307692,24.806504,25.0468125,27.28124782608695,26.275554545454543,24.678861904761902,25.945875,24.667063157894734,25.449122222222226,26.602558823529407,25.882956249999996,24.99081333333333,24.753207142857143,25.352776923076927,24.198849999999997,21.91515454545455,23.788330000000002,25.601411111111112,22.9776,23.367157142857142,24.805666666666667,28.193760000000005,27.949650000000002,27.29693333333333,32.916,44.362300000000005
nonsuc,24.02735666666667,23.49314482758621,24.96473214285714,24.414877777777786,24.65910384615385,24.440976,24.06940416666666,24.834460869565216,24.692204545454548,23.51002857142857,24.09914,24.024957894736843,23.89451111111111,24.734370588235297,24.78729375,23.401859999999996,23.596164285714288,24.41593846153846,22.746266666666667,22.91607272727273,22.748790000000003,24.59848888888889,24.4653875,21.83307142857143,20.73281666666667,19.04906,19.7646,18.566,16.40775,13.9524
